Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino,Novavax,Covaxin
Argentina,ARG,1/1/2021,0,0,3,0,43520,0,1,0,0,0
Argentina,ARG,1/2/2021,1,0,4,0,46830,0,1,0,0,0
Argentina,ARG,1/3/2021,2,0,4,0,47273,0,1,0,0,0
Argentina,ARG,1/4/2021,2,0,4,0,57734,0,1,0,0,0
Argentina,ARG,1/5/2021,2,0,4,0,68459,0,5,0,0,0
Argentina,ARG,1/6/2021,3,0,5,0,78566,0,8,0,0,0
Argentina,ARG,1/7/2021,4,0,6,0,96789,0,9,0,0,0
Argentina,ARG,1/8/2021,4,0,6,0,124680,0,9,0,0,0
Argentina,ARG,1/9/2021,5,0,6,0,134887,0,10,0,0,0
Argentina,ARG,1/10/2021,7,0,6,0,136061,0,11,0,0,0
Argentina,ARG,1/11/2021,7,0,7,0,155883,0,13,0,0,0
Argentina,ARG,1/12/2021,8,0,9,0,175269,0,16,0,0,0
Argentina,ARG,1/13/2021,8,0,10,0,192037,0,20,0,0,0
Argentina,ARG,1/14/2021,9,0,10,0,208688,0,21,0,0,0
Argentina,ARG,1/15/2021,9,0,10,0,226133,0,21,0,0,0
Argentina,ARG,1/16/2021,9,0,10,0,232017,0,21,0,0,0
Argentina,ARG,1/17/2021,9,0,10,0,233079,0,21,0,0,0
Argentina,ARG,1/18/2021,10,0,10,0,242910,0,21,0,0,0
Argentina,ARG,1/19/2021,10,0,10,0,256159,0,22,0,0,0
Argentina,ARG,1/20/2021,10,0,10,0,275587,0,22,0,0,0
Argentina,ARG,1/21/2021,10,0,15,0,289699,0,24,0,0,0
Argentina,ARG,1/22/2021,10,0,18,0,298914,0,25,0,0,0
Argentina,ARG,1/23/2021,10,0,23,0,302854,0,25,0,0,0
Argentina,ARG,1/24/2021,10,0,24,0,303156,0,25,0,0,0
Argentina,ARG,1/25/2021,10,0,32,0,317363,0,25,0,0,0
Argentina,ARG,1/26/2021,10,0,70,0,330139,0,26,0,0,0
Argentina,ARG,1/27/2021,10,0,72,0,340245,0,26,0,0,0
Argentina,ARG,1/28/2021,10,0,72,0,356292,0,26,0,0,0
Argentina,ARG,1/29/2021,10,0,73,0,379794,0,26,0,0,0
Argentina,ARG,1/30/2021,10,0,73,0,389108,0,26,0,0,0
Argentina,ARG,1/31/2021,10,0,73,0,389731,0,27,0,0,0
Argentina,ARG,2/1/2021,10,0,92,0,409239,0,27,0,0,0
Argentina,ARG,2/2/2021,10,0,125,0,433085,0,27,0,0,0
Argentina,ARG,2/3/2021,10,0,133,0,459692,0,30,0,0,0
Argentina,ARG,2/4/2021,10,0,138,0,487801,0,53,0,0,0
Argentina,ARG,2/5/2021,10,0,143,0,520831,0,60,2,0,0
Argentina,ARG,2/6/2021,10,0,143,0,531756,0,64,2,0,0
Argentina,ARG,2/7/2021,10,0,143,0,533135,0,68,2,0,0
Argentina,ARG,2/8/2021,10,0,145,0,556561,0,69,2,0,0
Argentina,ARG,2/9/2021,10,0,147,0,576752,0,75,2,0,0
Argentina,ARG,2/10/2021,10,0,150,0,592371,0,80,2,0,0
Argentina,ARG,2/11/2021,10,0,153,0,610219,0,86,2,0,0
Argentina,ARG,2/12/2021,10,0,154,0,626058,0,87,2,0,0
Argentina,ARG,2/13/2021,10,0,156,0,629090,0,89,2,0,0
Argentina,ARG,2/14/2021,10,0,156,0,629240,0,91,2,0,0
Argentina,ARG,2/15/2021,11,0,156,0,630555,0,93,2,0,0
Argentina,ARG,2/16/2021,12,0,168,0,631853,0,95,2,0,0
Argentina,ARG,2/17/2021,12,0,179,0,656250,0,98,2,0,0
Argentina,ARG,2/18/2021,13,0,210,0,720044,0,102,2,0,0
Argentina,ARG,2/19/2021,13,0,394,0,787756,0,103,2,0,0
Argentina,ARG,2/20/2021,13,0,542,0,820228,0,104,2,0,0
Argentina,ARG,2/21/2021,13,0,943,0,840007,0,104,2,0,0
Argentina,ARG,2/22/2021,13,0,23543,0,884984,0,104,2,0,0
Argentina,ARG,2/23/2021,13,0,73741,0,921744,0,106,2,0,0
Argentina,ARG,2/24/2021,13,0,135814,0,953495,0,109,2,0,0
Argentina,ARG,2/25/2021,13,56,188972,0,979810,0,113,2,0,0
Argentina,ARG,2/26/2021,13,56,245029,0,1005444,0,122,2,0,0
Argentina,ARG,2/27/2021,13,56,258374,0,1010002,0,123,2,0,0
Argentina,ARG,2/28/2021,13,56,263724,0,1010779,0,124,2,0,0
Argentina,ARG,3/1/2021,13,56,317046,0,1031324,0,826,2,0,0
Argentina,ARG,3/2/2021,13,56,368693,0,1050351,0,5784,2,0,0
Argentina,ARG,3/3/2021,13,56,404661,0,1068035,0,23613,2,0,0
Argentina,ARG,3/4/2021,13,56,430376,0,1090097,0,87920,2,0,0
Argentina,ARG,3/5/2021,13,56,454673,0,1111040,0,154433,2,0,0
Argentina,ARG,3/6/2021,13,56,462589,0,1115641,0,196858,2,0,0
Argentina,ARG,3/7/2021,13,56,467563,0,1116018,0,203301,2,0,0
Argentina,ARG,3/8/2021,14,56,499143,0,1133997,0,256244,2,0,0
Argentina,ARG,3/9/2021,14,56,515483,0,1170357,0,319356,2,0,0
Argentina,ARG,3/10/2021,14,56,527570,0,1223513,0,418094,2,0,0
Argentina,ARG,3/11/2021,14,56,537512,0,1315535,0,502986,2,0,0
Argentina,ARG,3/12/2021,14,56,545036,0,1408547,0,564128,2,0,0
Argentina,ARG,3/13/2021,14,56,548011,0,1441459,0,574634,2,0,0
Argentina,ARG,3/14/2021,14,56,548060,0,1443925,0,581291,2,0,0
Argentina,ARG,3/15/2021,14,56,554483,0,1534513,0,621910,2,0,0
Argentina,ARG,3/16/2021,14,56,557608,0,1630461,0,656585,2,0,0
Argentina,ARG,3/17/2021,14,56,560319,0,1744373,0,679552,2,0,0
Argentina,ARG,3/18/2021,14,57,562004,0,1859506,0,701699,2,0,0
Argentina,ARG,3/19/2021,15,57,563851,0,1960257,0,725303,2,0,0
